"","date","open","high","low","close","log.close","volume"
"4301","6/19/2014",335.255,338.9,325.98,327,2.514547753,5320600
"4302","6/20/2014",327.76,328.22,320.42,324.2,2.510813011,6054000
"4304","6/24/2014",327.54,329.73,322.738,324.16,2.510759424,2626600
"4306","6/26/2014",328.49,328.65,322.13,325.69,2.512804424,2699500
"4307","6/27/2014",325.88,326.52,323.27,324.57,2.511308376,2416200
"4308","6/30/2014",324.98,326.98,322.24,324.78,2.511589277,2671300
"4310","7/2/2014",333.2,336.76,331.66,332.85,2.522248561,2681300
"4312","7/7/2014",337.5,337.55,332.52,333.55,2.523160945,2128900
"4313","7/8/2014",333.1,333.7397,321.4,323.81,2.510290257,4271600
"4320","7/17/2014",353.44,356.96,351.38,352.454,2.547102444,3636000
"4324","7/23/2014",359.05,360.63,356.62,358.14,2.554052829,2687300
"4325","7/24/2014",359.98,364.85,358.52,358.61,2.554622396,7000000
"4327","7/28/2014",324.25,324.82,316.5,320.41,2.505706062,5932000
"4328","7/29/2014",321.98,322.8999,319.5,320,2.505149978,2883800
"4330","7/31/2014",320.01,320.6836,311.86,312.99,2.495530462,5192000
"4331","8/1/2014",313.69,315.83,304.588,307.06,2.487223246,7441500
"4333","8/5/2014",313.3,314.55,310.06,312.32,2.494599796,2852100
"4335","8/7/2014",315.21,315.8774,309.655,311.45,2.493388335,2935600
"4337","8/11/2014",318.48,320.38,316.88,318.33,2.502877569,2468600
"4339","8/13/2014",327.6,331.72,326.14,326.28,2.513590454,4939100
"4341","8/15/2014",334,335,328.32,333.63,2.523265095,3896700
"4342","8/18/2014",335.48,337.8,333.77,334.53,2.524435071,2485400
"4345","8/21/2014",336.48,336.582,332.23,332.91,2.522326841,1971100
"4346","8/22/2014",332.99,334.08,330.8,331.59,2.520601425,2211200
"4351","8/29/2014",341.76,341.8199,337.68,339.04,2.530250939,1939500
"4353","9/3/2014",342.54,343.27,337.55,339,2.530199698,1993700
"4356","9/8/2014",344.54,345.81,339.04,342.34,2.534457646,2955300
"4357","9/9/2014",341.61,341.76,329.18,329.75,2.518184804,4634000
"4358","9/10/2014",334.3,334.98,328.82,331.33,2.52026076,3797400
"4361","9/15/2014",330.91,331.33,319,323.89,2.51039754,4000400
"4363","9/17/2014",327.76,328,321.52,324,2.51054501,4136000
"4364","9/18/2014",325.44,327.1,323.7105,325,2.511883361,2576900
"4366","9/22/2014",328.49,329.49,321.06,324.5,2.511214701,3109700
"4369","9/25/2014",327.99,328.54,321.4,321.93,2.50776145,2925241
"4373","10/1/2014",322.04,322.165,315.55,317.46,2.501689012,3096735
"4376","10/6/2014",323.5,324.13,319.6,322.2,2.508125536,2294194
"4377","10/7/2014",319.43,322,316.67,316.98,2.501031861,2365698
"4379","10/9/2014",321.49,322.271,314.52,315.37,2.498820378,3589464
"4380","10/10/2014",314.02,317.77,311.38,311.39,2.493304661,3684314
"4381","10/13/2014",309.87,313.2,303.47,306.45,2.486359626,4369850
"4385","10/17/2014",307.15,309.2,302.72,303.64,2.482358983,4409218
